RTDTimestamp,RepeatedHourFlag,IntervalId,IntervalEnding,IntervalRepeatedHourFlag,SettlementPoint,SettlementPointType,LMP
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HB_HUBAVG,AH,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HB_NORTH,HU,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HB_SOUTH,HU,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HB_WEST,HU,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HELIOS_RN,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HHGT_KENDAL,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HHOLLW2_WND1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HHOLLW3_WND1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HHOLLW4_WND1,RN,26.58
08/19/2018 22:50:01,N,1,08/19/2018 22:55:00,N,HICK_G1_G2,RN,26.58
